,serial_number,countries,total_cases,new_cases,total_death,new_deaths,total_recovered,active_cases,serious_critical,total_cases_permn,total_deaths_permn,total_tests,total_test_permillion,total_pop
13,6,UK,6355887,,"131,260",,"4,923,892",,"1,300,735",925,"93,074","1,922","259,176,591","3,795,312"
179,172,Sierra Leone,6346,,121,,"4,335",,"1,890",,778,15,"160,729","19,698"
52,45,Tunisia,632328,,"22,304",,"584,696",,"25,328",630,"52,879","1,865","2,434,016","203,545"
217,210,Macao,63,,,,59,,4,,96,,"4,739","7,188"
14,7,Turkey,6138452,,"53,675",,"5,651,819",,"432,958",633,"71,910",629,"72,681,603","851,445"
180,173,Mauritius,6122,,22,,"1,854",,"4,246",,"4,805",17,"358,675","281,501"
181,174,Isle of Man,6112,,37,,"5,341",,734,1,"71,451",433,"83,753","979,098"
122,115,Jamaica,59377,,"1,339",,"47,570",,"10,468",32,"19,954",450,"523,891","176,053"
123,116,Malawi,58861,,"2,012",,"44,305",,"12,544",285,"2,990",102,"372,701","18,933"
53,46,Lebanon,586585,,"7,993",,"543,164",,"35,428",54,"86,378","1,177","4,759,054","700,800"
182,175,Niger,5741,,196,,"5,452",,93,,228,8,"136,641","5,425"
54,47,Greece,547186,,"13,245",,"496,376",,"37,565",282,"52,789","1,278","14,349,465","1,384,350"
